,relation,head,tail,weight
1029,Antonym,désacidifier/v,acidifier,2.0
1030,Antonym,désagrément/n,agrément,2.0
1031,Antonym,désassembleur/n,assembleur,2.0
1032,Antonym,désexciter/v,exciter,2.0
1033,Antonym,désobéir/v,obéir,2.0
1034,Antonym,détectable/a,indétectable,2.0
1035,Antonym,déterminable/a,indéterminable,2.0
1036,Antonym,dévissable/a,indévissable,2.0
1037,Antonym,effaçable/a,ineffaçable,2.0
1038,Antonym,efficace/a,inefficace,2.0
1039,Antonym,emménager/v,déménager,2.0
1040,Antonym,empathie/n,apathie,2.0
1041,Antonym,en_bas/r,en_haut,2.0
1042,Antonym,en_deçà/r,au_delà,2.0
1043,Antonym,en_haut/r,en_bas,2.0
1044,Antonym,en_ligne/a,hors_ligne,2.0
1045,Antonym,enconner/v,déconner,2.0
1046,Antonym,endo,exo,2.0
1047,Antonym,endoplasmique/a,ectoplasmique,2.0
1048,Antonym,endormi/a,éveillé,2.0
1049,Antonym,enneiger/v,déneiger,2.0
1050,Antonym,enraciner/v,déraciner,2.0
1051,Antonym,espérance/n,désespérance,2.0
1052,Antonym,euphonie/n,cacophonie,2.0
1053,Antonym,europhilie/n,europhobie,2.0
1054,Antonym,exo,endo,2.0
1055,Antonym,exogame/a,endogame,2.0
1056,Antonym,exogène/a,endogène,2.0
1057,Antonym,exon/n,intron,2.0
1058,Antonym,explicit/n,incipit,2.0
1059,Antonym,exprimable/a,inexprimable,2.0
1060,Antonym,extraverti/a,introverti,2.0
1061,Antonym,extrinsèque/a,intrinsèque,2.0
1062,Antonym,extuber/v,intuber,2.0
1063,Antonym,extérieur/a,intérieur,2.0
1064,Antonym,facile/a,difficile,2.0
1065,Antonym,faillible/a,infaillible,2.0
1066,Antonym,faim/n,satiété,2.0
1067,Antonym,faisable/a,infaisable,2.0
1068,Antonym,fdpin/r,fdpout,2.0
1069,Antonym,fdpout/r,fdpin,2.0
1070,Antonym,femelle/n,mâle,2.0
1071,Antonym,fermer/v,ouvrir,2.0
1072,Antonym,fort/a,faible,2.0
1073,Antonym,fragmentation/n,défragmentation,2.0
1074,Antonym,fragmentation/n,rassemblement,2.0
1075,Antonym,fragmentation/n,réunion,2.0
1076,Antonym,franchissable/a,infranchissable,2.0
1077,Antonym,fructueux/a,infructueux,2.0
1078,Antonym,fréquentable/a,infréquentable,2.0
1079,Antonym,féminin/a,masculin,2.0
1080,Antonym,gai/a,triste,2.0
1081,Antonym,gaucher/n,droitier,2.0
1082,Antonym,gonfler/v,dégonfler,2.0
1083,Antonym,gouvernable/a,ingouvernable,2.0
1084,Antonym,grammatical/a,agrammatical,2.0
1085,Antonym,guerre/n,non_violence,2.0
1086,Antonym,guerre/n,paix,2.0
1087,Antonym,générosité/n,ingénérosité,2.0
1088,Antonym,générosité/n,égoïsme,2.0
1089,Antonym,gérable/a,ingérable,2.0
1090,Antonym,h_aspiré/n,h_muet,2.0
1091,Antonym,h_muet/n,h_aspiré,2.0
1092,Antonym,habitable/a,inhabitable,2.0
1093,Antonym,homme/n,femme,2.0
1094,Antonym,homosexualité/n,hétérosexualité,2.0
1095,Antonym,horizontal/a,vertical,2.0
1096,Antonym,hospitalité/n,inhospitalité,2.0
1097,Antonym,hue,dia,2.0
1098,Antonym,humidification/n,déshumidification,2.0
1099,Antonym,hyperglycémie/n,hypoglycémie,2.0
1100,Antonym,hypermétropie/n,myopie,2.0
1101,Antonym,hypersensibilité/n,hyposensibilité,2.0
1102,Antonym,hypocapnie/n,hypercapnie,2.0
1103,Antonym,hypoglycémie/n,hyperglycémie,2.0
1104,Antonym,hyposensibilité/n,hypersensibilité,2.0
1105,Antonym,hypotendu/a,hypertendu,2.0
1106,Antonym,hérésie/n,orthodoxie,2.0
1107,Antonym,hétérogamie/n,homogamie,2.0
1108,Antonym,hétérologique/a,autologique,2.0
1109,Antonym,hétérosexualité/n,homosexualité,2.0
1110,Antonym,illisible/a,lisible,2.0
1111,Antonym,illisiblement/r,lisiblement,2.0
1112,Antonym,imbuvable/a,buvable,2.0
1113,Antonym,imitable/a,inimitable,2.0
1114,Antonym,immangeable/a,mangeable,2.0
1115,Antonym,impair/a,pair,2.0
1116,Antonym,imparfait/a,parfait,2.0
1117,Antonym,implosion/n,explosion,2.0
1118,Antonym,impopulaire/a,populaire,2.0
1119,Antonym,inaliénable/a,aliénable,2.0
1120,Antonym,incapacité/n,capacité,2.0
1121,Antonym,incorrigible/a,corrigible,2.0
1122,Antonym,indestructible/a,destructible,2.0
1123,Antonym,indirectement/r,directement,2.0
1124,Antonym,indiscutable/a,discutable,2.0
1125,Antonym,indivisible/a,divisible,2.0
1126,Antonym,indénombrable/a,dénombrable,2.0
1127,Antonym,indétectable/a,détectable,2.0
1128,Antonym,inefficace/a,efficace,2.0
1129,Antonym,infaisabilité/n,faisabilité,2.0
1130,Antonym,inflammable/a,ininflammable,2.0
1131,Antonym,inflation/n,déflation,2.0
1132,Antonym,inférieur/a,supérieur,2.0
1133,Antonym,ingratitude/n,gratitude,2.0
1134,Antonym,ingérable/a,gérable,2.0
1135,Antonym,inhabituel/a,habituel,2.0
1136,Antonym,insipide/a,sapide,2.0
1137,Antonym,inséparable/a,séparable,2.0
1138,Antonym,intelligible/a,inintelligible,2.0
1139,Antonym,interdire/v,autoriser,2.0
1140,Antonym,interdire/v,permettre,2.0
1141,Antonym,intransitif/a,transitif,2.0
1142,Antonym,intransitivement/r,transitivement,2.0
1143,Antonym,intransitivité/n,transitivité,2.0
1144,Antonym,intrinsèque/a,extrinsèque,2.0
1145,Antonym,intuber/v,extuber,2.0
1146,Antonym,inutile/a,nécessaire,2.0
1147,Antonym,inutile/a,utile,2.0
1148,Antonym,invisible/a,visible,2.0
1149,Antonym,involontaire/a,volontaire,2.0
1150,Antonym,irréaliste/a,réaliste,2.0
1151,Antonym,irrégulier/a,régulier,2.0
1152,Antonym,irrépressible/a,répressible,2.0
1153,Antonym,irrépréhensible/a,répréhensible,2.0
1154,Antonym,irréversible/a,réversible,2.0
1155,Antonym,isostémone/a,anisostémone,2.0
1156,Antonym,joie/n,chagrin,2.0
1157,Antonym,joie/n,ennui,2.0
1158,Antonym,joie/n,mélancolie,2.0
1159,Antonym,joie/n,peine,2.0
1160,Antonym,joie/n,tristesse,2.0
1161,Antonym,jouable/a,injouable,2.0
1162,Antonym,juif/n,gentil,2.0
1163,Antonym,l_glycéraldéhyde/n,d_glycéraldéhyde,2.0
1164,Antonym,latitude/n,longitude,2.0
1165,Antonym,lettré/a,illettré,2.0
1166,Antonym,lgbti_friendly/a,allophobe,2.0
1167,Antonym,lisiblement/r,illisiblement,2.0
1168,Antonym,logique/a,illogique,2.0
1169,Antonym,loin/r,près,2.0
1170,Antonym,loyalement/r,déloyalement,2.0
1171,Antonym,lumière/n,obscurité,2.0
1172,Antonym,lumière/n,ténèbre,2.0
1173,Antonym,là,ci,2.0
1174,Antonym,là/r,ici,2.0
1175,Antonym,là_dessus/r,là_dessous,2.0
1176,Antonym,légalement/r,illégalement,2.0
1177,Antonym,léger/a,lourd,2.0
1178,Antonym,léger/a,pesant,2.0
1179,Antonym,lévogyre/a,dextrogyre,2.0
1180,Antonym,macro,micro,2.0
1181,Antonym,macrocosme/n,microcosme,2.0
1182,Antonym,magnétisation/n,démagnétisation,2.0
1183,Antonym,majeur/a,mineur,2.0
1184,Antonym,majeur/a,moindre,2.0
1185,Antonym,mal_être/n,bien_être,2.0
1186,Antonym,maladroitement/r,habilement,2.0
1187,Antonym,malchance/n,chance,2.0
1188,Antonym,malchanceux/a,chanceux,2.0
1189,Antonym,malchanceux/a,heureux,2.0
1190,Antonym,malheureux/a,heureux,2.0
1191,Antonym,mangeable/a,immangeable,2.0
1192,Antonym,masculin/n,féminin,2.0
1193,Antonym,masochisme/n,sadisme,2.0
1194,Antonym,matérialisme/n,idéalisme,2.0
1195,Antonym,matérialisme/n,spiritualisme,2.0
1196,Antonym,mauvais/a,bon,2.0
1197,Antonym,maxi/r,mini,2.0
1198,Antonym,meilleur/a,pire,2.0
1199,Antonym,mini/r,maxi,2.0
1200,Antonym,misogynie/n,philogynie,2.0
1201,Antonym,moins,plus,2.0
1202,Antonym,monophonie/n,stéréophonie,2.0
1203,Antonym,monophonique/a,polyphonique,2.0
1204,Antonym,monophonique/a,stéréophonique,2.0
1205,Antonym,monotopisme/n,polytopisme,2.0
1206,Antonym,morte_eau/n,vive_eau,2.0
1207,Antonym,multi_locataire/a,multi_propriétaire,2.0
1208,Antonym,multi_propriétaire/a,multi_locataire,2.0
1209,Antonym,myopie/n,hypermétropie,2.0
1210,Antonym,mâle/n,femelle,2.0
1211,Antonym,méronyme/n,holonyme,2.0
1212,Antonym,nadir/n,zénith,2.0
1213,Antonym,naturalisation/n,dénaturalisation,2.0
1214,Antonym,niable/a,indéniable,2.0
1215,Antonym,noircissement/n,blanchissement,2.0
1216,Antonym,nom_dénombrable/n,nom_indénombrable,2.0
1217,Antonym,non_fumeur/n,fumeur,2.0
1218,Antonym,non_résistance/n,bellicisme,2.0
1219,Antonym,non_résistance/n,coercition,2.0
1220,Antonym,non_résistance/n,insoumission,2.0
1221,Antonym,non_résistance/n,réaction,2.0
1222,Antonym,non_résistance/n,vindicte,2.0
1223,Antonym,nord/n,sud,2.828
1224,Antonym,nuitée/n,journée,2.0
1225,Antonym,négatif/a,positif,2.0
1226,Antonym,obéir/v,désobéir,2.0
1227,Antonym,occident/n,orient,2.0
1228,Antonym,occultement/r,publiquement,2.0
1229,Antonym,offensif/a,inoffensif,2.0
1230,Antonym,ondulatoire/a,corpusculaire,2.0
1231,Antonym,opacité/n,transparence,2.0
1232,Antonym,original/a,banal,2.0
1233,Antonym,orthodoxe/a,déviationniste,2.0
1234,Antonym,orthodoxe/a,hétérodoxe,2.0
1235,Antonym,oubliable/a,inoubliable,2.0
1236,Antonym,oui/r,non,2.0
1237,Antonym,ouvert/a,fermé,2.0
1238,Antonym,pair/a,impair,2.0
1239,Antonym,parataxe/n,hypotaxe,2.0
1240,Antonym,pardonnable/a,impardonnable,2.0
1241,Antonym,payement/n,impayement,2.0
1242,Antonym,pensable/a,impensable,2.0
1243,Antonym,perceptible/a,imperceptible,2.0
1244,Antonym,perdable/a,imperdable,2.0
1245,Antonym,perfectible/a,imperfectible,2.0
1246,Antonym,perfectif/a,imperfectif,2.0
1247,Antonym,perméable/a,imperméable,2.0
1248,Antonym,philogynie/n,misogynie,2.0
1249,Antonym,pire/a,meilleur,2.0
1250,Antonym,pluriel/n,singulier,2.0
1251,Antonym,poly,mono,2.0
1252,Antonym,poly,uni,2.0
1253,Antonym,polygamie/n,monogamie,2.0
1254,Antonym,positif/a,négatif,2.0
1255,Antonym,postdater/v,antidater,2.0
1256,Antonym,praticable/a,impraticable,2.0
1257,Antonym,praticien/n,théoricien,2.0
1258,Antonym,pressuriser/v,dépressuriser,2.0
1259,Antonym,productif/a,improductif,2.0
1260,Antonym,prononçable/a,imprononçable,2.0
1261,Antonym,protique/a,aprotique,2.0
1262,Antonym,prudent/a,imprudent,2.0
1263,Antonym,publiable/a,impubliable,2.0
1264,Antonym,pudeur/n,impudeur,2.0
1265,Antonym,péjoratif/a,mélioratif,2.0
1266,Antonym,périgée/n,apogée,2.0
1267,Antonym,pôle_nord/n,pôle_sud,2.828
1268,Antonym,pôle_sud/n,pôle_nord,2.828
1269,Antonym,remplaçable/a,irremplaçable,2.0
1270,Antonym,respectueusement/r,irrespectueusement,2.0
1271,Antonym,riche/a,pauvre,2.0
1272,Antonym,ruralité/n,citadinité,2.0
1273,Antonym,réversible/a,irréversible,2.0
1274,Antonym,sapide/a,insipide,2.0
1275,Antonym,silence/n,bruit,2.0
1276,Antonym,silence/n,cacophonie,2.0
1277,Antonym,silence/n,musique,2.0
1278,Antonym,silence/n,mélodie,2.0
1279,Antonym,sinistralité/n,dextralité,2.0
1280,Antonym,sinistrose/n,optimisme,2.0
1281,Antonym,slavophile/a,occidentaliste,2.0
1282,Antonym,slavophile/a,slavophobe,2.0
1283,Antonym,slavophile/n,occidentaliste,2.0
1284,Antonym,soluble/a,insoluble,2.0
1285,Antonym,sombre/a,clair,2.0
1286,Antonym,sonore/a,sourd,2.0
1287,Antonym,soupçonnable/a,insoupçonnable,2.0
1288,Antonym,soviétiser/v,désoviétiser,2.0
1289,Antonym,strictement_négatif/a,positif,2.0
1290,Antonym,strictement_positif/a,négatif,2.0
1291,Antonym,subjectif/a,objectif,2.0
1292,Antonym,subjectivité/n,objectivité,2.0
1293,Antonym,sud/n,nord,2.828
1294,Antonym,supérieur/a,inférieur,2.0
1295,Antonym,supériorité/n,infériorité,2.0
1296,Antonym,sur,sous,2.0
1297,Antonym,surmontable/a,insurmontable,2.0
1298,Antonym,surnatalité/n,surmortalité,2.0
1299,Antonym,sympathie/n,antipathie,2.0
1300,Antonym,synchrone/a,asynchrone,2.0
1301,Antonym,sécable/a,insécable,2.0
1302,Antonym,ségrégation/n,déségrégation,2.0
1303,Antonym,séparable/a,inséparable,2.0
1304,Antonym,séronégatif/a,séropositif,2.0
1305,Antonym,séropositif/a,séronégatif,2.0
1306,Antonym,tachycardie/n,bradycardie,2.0
1307,Antonym,taire/v,dire,2.0
1308,Antonym,taire/v,parler,2.0
1309,Antonym,taire/v,répliquer,2.0
1310,Antonym,tant_mieux,tant_pis,2.0
1311,Antonym,tard/r,tôt,2.0
1312,Antonym,terrestre/a,aquatique,2.0
1313,Antonym,terrestre/a,céleste,2.0
1314,Antonym,terrestre/a,extraterrestre,2.0
1315,Antonym,thermolabile/a,thermostable,2.0
1316,Antonym,thermostable/a,thermolabile,2.0
1317,Antonym,total/a,partiel,2.0
1318,Antonym,tranquille/a,agité,2.0
1319,Antonym,transitivité/n,intransitivité,2.0
1320,Antonym,tribord/n,bâbord,2.0
1321,Antonym,triste/a,béat,2.0
1322,Antonym,triste/a,comblé,2.0
1323,Antonym,triste/a,content,2.0
1324,Antonym,triste/a,enchanté,2.0
1325,Antonym,triste/a,gai,2.0
1326,Antonym,triste/a,heureux,2.0
1327,Antonym,triste/a,joyeux,2.0
1328,Antonym,triste/a,ravi,2.0
1329,Antonym,triste/a,réjoui,2.0
1330,Antonym,triste/a,satisfait,2.0
1331,Antonym,triste/a,épanoui,2.0
1332,Antonym,tutoiement/n,vouvoiement,2.0
1333,Antonym,ubac/n,adret,2.0
1334,Antonym,ultérieur/a,citérieur,2.0
1335,Antonym,unidirectionnel/a,bidirectionnel,2.0
1336,Antonym,univarié/a,multivarié,2.0
1337,Antonym,urbain/a,rural,2.0
1338,Antonym,utile/a,inutile,2.0
1339,Antonym,utilisable/a,inutilisable,2.0
1340,Antonym,utopie/n,dystopie,2.0
1341,Antonym,valide/a,invalide,2.0
1342,Antonym,veille/n,lendemain,2.0
1343,Antonym,veille/n,sommeil,2.0
1344,Antonym,vicieux/a,vertueux,2.0
1345,Antonym,vieux/a,jeune,2.0
1346,Antonym,vieux/a,neuf,2.0
1347,Antonym,vieux/a,nouveau,2.0
1348,Antonym,violence/n,douceur,2.0
1349,Antonym,vive_eau/n,morte_eau,2.0
1350,Antonym,volontaire/a,involontaire,2.0
1351,Antonym,volontairement/r,involontairement,2.0
1352,Antonym,vouvoiement/n,tutoiement,2.0
1353,Antonym,voyelle/n,consonne,2.0
1354,Antonym,vraisemblance/n,invraisemblance,2.0
1355,Antonym,à_court_terme/a,à_long_terme,2.0
1356,Antonym,à_long_terme/a,à_court_terme,2.0
1357,Antonym,à_long_terme/r,à_court_terme,2.0
1358,Antonym,à_présent/r,dans_le_temps,2.0
1359,Antonym,à_tort/r,à_raison,2.0
1360,Antonym,écoumène/n,érème,2.0
1361,Antonym,écrivable/a,inécrivable,2.0
1362,Antonym,égalable/a,inégalable,2.0
1363,Antonym,ému/a,froid,2.0
1364,Antonym,ému/a,indifférent,2.0
1365,Antonym,éteindre/v,allumer,2.0
1366,Antonym,étoile_du_soir/n,étoile_du_matin,2.0
1367,Antonym,évitable/a,inéluctable,2.0
1368,Antonym,évitable/a,inévitable,2.0
14287,DerivedFrom,abaissant,abaisser/v,2.0
14288,DerivedFrom,abaissement,abaisser/v,2.0
14289,DerivedFrom,abaisseur,abaisser/v,2.0
14290,DerivedFrom,abasourdi,abasourdir/v,2.0
14291,DerivedFrom,abattis,abattre/v,2.0
14292,DerivedFrom,abattoir,abattre/v,2.0
14293,DerivedFrom,abattu,abattre/v,2.0
14294,DerivedFrom,aberdonien,aberdeen/n,2.0
14295,DerivedFrom,abidjanais,abidjan,2.0
14296,DerivedFrom,abitibien,abitibi/n,2.0
14297,DerivedFrom,abjectement,abject/a,2.0
14298,DerivedFrom,abkhazien,abkhazie/n,2.0
14299,DerivedFrom,abominablement,abominable/a,2.0
14300,DerivedFrom,abribus,abri/n,2.0
14301,DerivedFrom,accotement,accoter/v,2.0
14302,DerivedFrom,africain,afrique/n,2.0
14303,DerivedFrom,ailler,ail/n,2.0
14304,DerivedFrom,ainois,ain/n,2.0
14305,DerivedFrom,aixois,aix,2.0
14306,DerivedFrom,ajaccien,ajaccio,2.0
14307,DerivedFrom,ajacéen,ajaccio,2.0
14308,DerivedFrom,akkadien,akkad,2.0
14309,DerivedFrom,albertain,alberta,2.0
14310,DerivedFrom,alcoologie,alcool/n,2.0
14311,DerivedFrom,alliérin,allier/n,2.0
14312,DerivedFrom,altiligérien,haute_loire/n,2.0
14313,DerivedFrom,alunissage,alunir/v,2.0
14314,DerivedFrom,amiénois,amiens,2.0
14315,DerivedFrom,américain,amérique/n,2.0
14316,DerivedFrom,ancônitain,ancône/n,2.0
14317,DerivedFrom,andorran,andorre,2.0
14318,DerivedFrom,angevin,angers/n,2.0
14319,DerivedFrom,angevin,anjou/n,2.0
14320,DerivedFrom,angolais,angola,2.0
14321,DerivedFrom,annécien,annecy,2.0
14322,DerivedFrom,annécien,annecy/n,2.0
14323,DerivedFrom,antirétroviral,rétroviral/a,2.0
14324,DerivedFrom,anversois,anvers,2.0
14325,DerivedFrom,aostois,aoste,2.0
14326,DerivedFrom,ardennais,ardennes/n,2.0
14327,DerivedFrom,ardéchois,ardèche,2.0
14328,DerivedFrom,ardéchois,ardèche/n,2.0
14329,DerivedFrom,ariégeois,ariège/n,2.0
14330,DerivedFrom,armoricain,armorique/n,2.0
14331,DerivedFrom,artésien,artois/n,2.0
14332,DerivedFrom,asiatique,asie/n,2.0
14333,DerivedFrom,athénien,athènes,2.0
14334,DerivedFrom,athénien,athènes/n,2.0
14335,DerivedFrom,aubois,aube/n,2.0
14336,DerivedFrom,auxerrois,auxerre/n,2.0
14337,DerivedFrom,avant_gardisme,avant_garde/n,2.0
14338,DerivedFrom,avant_gardiste,avant_garde/n,2.0
14339,DerivedFrom,aveuglement,aveugle/a,2.0
14340,DerivedFrom,aveyronnais,aveyron,2.0
14341,DerivedFrom,aveyronnais,aveyron/n,2.0
14342,DerivedFrom,avignonnais,avignon,2.0
14343,DerivedFrom,avitaillement,avitailler/v,2.0
14344,DerivedFrom,axonais,aisne/n,2.0
14345,DerivedFrom,axonométrique,axonométrie/n,2.0
14346,DerivedFrom,azerbaïdjanais,azerbaïdjan,2.0
14347,DerivedFrom,azerbaïdjanais,azerbaïdjan/n,2.828
14348,DerivedFrom,azotémique,azotémie/n,2.0
14349,DerivedFrom,azurage,azurer/v,2.0
14350,DerivedFrom,azéri,azerbaïdjan/n,2.0
14351,DerivedFrom,açorien,açores/n,2.0
14352,DerivedFrom,açoréen,açores/n,2.0
14353,DerivedFrom,babillage,babiller/v,2.0
14354,DerivedFrom,babillard,babiller/v,2.0
14355,DerivedFrom,babillement,babiller/v,2.0
14356,DerivedFrom,bahamien,bahamas,2.0
14357,DerivedFrom,bahreïni,bahreïn/n,2.0
14358,DerivedFrom,bahreïnien,bahreïn,2.0
14359,DerivedFrom,bahreïnite,bahreïn/n,2.0
14360,DerivedFrom,bananier,banane/n,2.0
14361,DerivedFrom,bangkokien,bangkok/n,2.0
14362,DerivedFrom,barbadien,barbade/n,2.0
14363,DerivedFrom,barbudien,barbuda,2.0
14364,DerivedFrom,barcelonais,barcelone/n,2.0
14365,DerivedFrom,bas_alpins,alpes_de_haute_provence/n,2.0
14366,DerivedFrom,bastiais,bastia/n,2.0
14367,DerivedFrom,bavarois,bavière,2.0
14368,DerivedFrom,berlinois,berlin,2.0
14369,DerivedFrom,besantin,besançon/n,2.0
14370,DerivedFrom,beyrouthin,beyrouth/n,2.0
14371,DerivedFrom,binchois,binche/n,2.0
14372,DerivedFrom,biologique,biologie/n,2.0
14373,DerivedFrom,biologiste,biologie/n,2.0
14374,DerivedFrom,biélorusse,biélorussie/n,2.0
14375,DerivedFrom,blogosphère,blog/n,2.0
14376,DerivedFrom,bloguer,blog/n,2.0
14377,DerivedFrom,bolonais,bologne,2.0
14378,DerivedFrom,bornéen,bornéo/n,2.0
14379,DerivedFrom,bosniaque,bosnie/n,2.828
14380,DerivedFrom,bostonien,boston,2.0
14381,DerivedFrom,botswanais,botswana,2.0
14382,DerivedFrom,boulonnais,boulogne/n,2.0
14383,DerivedFrom,bouriate,bouriatie/n,2.0
14384,DerivedFrom,bouroundais,bouroundi,2.0
14385,DerivedFrom,brandebourgeois,brandebourg/n,2.0
14386,DerivedFrom,brestois,brest,2.0
14387,DerivedFrom,britanno_colombien,colombie_britannique/n,2.0
14388,DerivedFrom,brunéien,brunéi/n,2.0
14389,DerivedFrom,brésilien,brésil,2.0
14390,DerivedFrom,bucco_rhodanien,bouches_du_rhône/n,2.0
14391,DerivedFrom,burkinabé,burkina_faso/n,2.0
14392,DerivedFrom,burundais,burundi,2.0
14393,DerivedFrom,bâlois,bâle,2.0
14394,DerivedFrom,bâlois,bâle/n,2.828
14395,DerivedFrom,béarnais,béarn/n,2.0
14396,DerivedFrom,bélarusse,bélarus/n,2.0
14397,DerivedFrom,bélizien,bélize,2.0
14398,DerivedFrom,béninois,bénin,2.0
14399,DerivedFrom,caennais,caen,2.0
14400,DerivedFrom,caennais,caen/n,2.0
14401,DerivedFrom,cagliaritain,cagliari,2.0
14402,DerivedFrom,caillassage,caillasser/v,2.0
14403,DerivedFrom,calaisien,calais,2.0
14404,DerivedFrom,californien,californie/n,2.0
14405,DerivedFrom,calédonien,calédonie/n,2.0
14406,DerivedFrom,camerounais,cameroun,2.0
14407,DerivedFrom,campanien,campanie/n,2.0
14408,DerivedFrom,canadien,canada/n,2.828
14409,DerivedFrom,cannois,cannes,2.0
